sendTime,requestType,latency,responseCode
1602054037749,POST,380,200
1602054037740,POST,389,200
1602054037736,POST,393,200
1602054037747,POST,382,200
1602054037747,POST,382,200
1602054037751,POST,380,200
1602054037750,POST,379,200
1602054037736,POST,394,200
1602054037750,POST,379,200
1602054037750,POST,381,200
1602054037749,POST,383,200
1602054037750,POST,382,200
1602054037739,POST,395,200
1602054038129,POST,5,200
1602054038132,POST,2,200
1602054037736,POST,398,200
1602054037740,POST,395,200
1602054038131,POST,4,200
1602054038132,POST,4,200
1602054038130,POST,6,200
1602054038134,POST,2,200
1602054038130,POST,7,200
1602054038134,POST,3,200
1602054038129,POST,8,200
1602054038131,POST,6,200
1602054038131,POST,7,200
1602054037748,POST,390,200
1602054038135,POST,3,200
1602054038135,POST,3,200
1602054037736,POST,403,200
1602054038135,POST,4,200
1602054037751,POST,387,200
1602054038132,POST,7,200
1602054037749,POST,391,200
1602054038135,POST,4,200
1602054038131,POST,9,200
1602054038136,POST,5,200
1602054038137,POST,4,200
1602054038137,POST,4,200
1602054037740,POST,401,200
1602054038138,POST,4,200
1602054038135,POST,4,200
1602054038136,POST,4,200
1602054037737,POST,407,200
1602054038138,POST,6,200
1602054038138,POST,6,200
1602054038136,POST,9,200
1602054038137,POST,8,200
1602054038140,POST,5,200
1602054038139,POST,6,200
1602054038139,POST,6,200
1602054037749,POST,397,200
1602054038141,POST,5,200
1602054038140,POST,6,200
1602054038138,POST,7,200
1602054038139,POST,8,200
1602054038139,POST,7,200
1602054038140,POST,6,200
1602054037736,POST,413,200
1602054038142,POST,7,200
1602054038142,POST,7,200
1602054037739,POST,410,200
1602054038143,POST,6,200
1602054038145,POST,5,200
1602054038145,POST,5,200
1602054037747,POST,403,200
1602054038145,POST,5,200
1602054038144,POST,6,200
1602054038141,POST,10,200
1602054038146,POST,5,200
1602054038146,POST,5,200
1602054038146,POST,5,200
1602054038140,POST,12,200
1602054037750,POST,403,200
1602054038147,POST,6,200
1602054038145,POST,9,200
1602054038146,POST,8,200
1602054038142,POST,7,200
1602054038147,POST,8,200
1602054038149,POST,6,200
1602054038148,POST,7,200
1602054038149,POST,6,200
1602054037750,POST,406,200
1602054038146,POST,5,200
1602054038150,POST,6,200
1602054038151,POST,6,200
1602054038144,POST,13,200
1602054038149,POST,7,200
1602054037741,POST,417,200
1602054038152,POST,6,200
1602054038151,POST,7,200
1602054037748,POST,409,200
1602054038141,POST,19,200
1602054038154,POST,6,200
1602054038153,POST,7,200
1602054038150,POST,6,200
1602054038154,POST,7,200
